,NFeatsRemoved,f1_0_train,f1_1_train,f1_0_test,f1_1_test
0,1,0.789725309794193,0.7853305302499415,0.858858506435082,0.6254930454639818
1,2,0.7897493948626549,0.7853551187007461,0.8589031450477234,0.6255579777846983
2,3,0.7898073831443693,0.7854064853234978,0.8589756126180744,0.6256165308135612
3,4,0.7898448179305445,0.7854916929431505,0.8589257071319587,0.6257783312577833
4,5,0.7899032120120699,0.7856295668098549,0.8588918659912773,0.6254477495717178
5,6,0.7897890483388235,0.785450433008193,0.858858506435082,0.6254930454639818
6,7,0.7898979561120977,0.7854363022668168,0.8583447466249265,0.6245592200788217
7,8,0.7899813354205553,0.7855605965598219,0.8583785053130075,0.6248898564246099
8,9,0.7896524315340705,0.7852822580645161,0.8581381240337385,0.6243068152371081
9,10,0.7898823784356451,0.7853655537108775,0.8583674188308512,0.6249676115458361
10,11,0.7898997802991542,0.7853598243769255,0.8580429295399847,0.6238398921553377
11,12,0.7899415584806407,0.7853659436555621,0.8582107075767063,0.6243649559357181
12,13,0.7898360004095474,0.7855505503352405,0.8579874706342991,0.6244175209692451
13,14,0.7898475690514605,0.785377010476612,0.8578754722151538,0.6238798238798239
14,15,0.7893620218168705,0.7841548059690463,0.8579919835761072,0.6226816977505325
15,16,0.7890011965678345,0.7839849304696302,0.8579752082274275,0.6226101413133833
16,17,0.7889785834931208,0.7838092481633608,0.8581034853490236,0.6226542600197535
17,18,0.7884096954122711,0.7827352145151446,0.8574612422044534,0.6211089746920958
18,19,0.786066417465735,0.7814542659492697,0.8554750244857983,0.6185897435897436
19,20,0.782912743100351,0.7789142793993049,0.852404317958783,0.6132483028183501
20,21,0.7821436959153072,0.7776418741587122,0.8513327837317943,0.6105512134923899
21,22,0.7814875037639266,0.7769965459171758,0.851037083595223,0.6107175854635047
22,23,0.7797578937235272,0.77479882865369,0.8505012064264276,0.6075088839676572
23,24,0.770841490816431,0.7662654451838061,0.8422815486158999,0.5923926880187382
24,25,0.769453248333956,0.7649667678169957,0.8406294368196876,0.5893709988822274
25,26,0.7529489968576263,0.7496141502731571,0.8273626002028922,0.5686596093633517
26,27,0.7528629702371961,0.7495422002560004,0.8277234025622663,0.5697108218225181
