,Date,MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,year,month,day,LocationNum,WindGustDirNum,WindDir9amNum,WindDir3pmNum,Latitude,Longitude,CodeRegionNum
0,2008-12-01,13.4,22.9,0.6,44.0,20.0,24.0,71.0,22.0,1007.7,1007.1,8.0,5.0,16.9,21.8,0,0,2008,12,1,0,3.141592653589793,3.141592653589793,2.748893571891069,-36.0804766,146.9162795,0
1,2008-12-02,7.4,25.1,0.0,44.0,4.0,22.0,44.0,25.0,1010.6,1007.8,6.0,5.0,17.2,24.3,0,0,2008,12,2,0,2.748893571891069,1.9634954084936207,3.5342917352885173,-36.0804766,146.9162795,0
2,2008-12-03,12.9,25.7,0.0,46.0,19.0,26.0,38.0,30.0,1007.6,1008.7,6.0,2.0,21.0,23.2,0,0,2008,12,3,0,3.5342917352885173,3.141592653589793,3.5342917352885173,-36.0804766,146.9162795,0
3,2008-12-04,9.2,28.0,0.0,24.0,11.0,9.0,45.0,16.0,1017.6,1012.8,6.0,5.0,18.1,26.5,0,0,2008,12,4,0,0.7853981633974483,5.497787143782138,0.0,-36.0804766,146.9162795,0
4,2008-12-05,17.5,32.3,1.0,41.0,7.0,20.0,82.0,33.0,1010.8,1006.0,7.0,8.0,17.8,29.7,0,0,2008,12,5,0,3.141592653589793,0.3926990816987241,2.356194490192345,-36.0804766,146.9162795,0
5,2008-12-06,14.6,29.7,0.2,56.0,19.0,24.0,55.0,23.0,1009.2,1005.4,6.0,5.0,20.6,28.9,0,0,2008,12,6,0,2.748893571891069,3.141592653589793,3.141592653589793,-36.0804766,146.9162795,0
6,2008-12-07,14.3,25.0,0.0,50.0,20.0,24.0,49.0,19.0,1009.6,1008.2,1.0,5.0,18.1,24.6,0,0,2008,12,7,0,3.141592653589793,3.9269908169872414,3.141592653589793,-36.0804766,146.9162795,0
7,2008-12-08,7.7,26.7,0.0,35.0,6.0,17.0,48.0,19.0,1013.4,1010.1,6.0,5.0,16.3,25.5,0,0,2008,12,8,0,3.141592653589793,5.105088062083414,3.141592653589793,-36.0804766,146.9162795,0
8,2008-12-09,9.7,31.9,0.0,80.0,7.0,28.0,42.0,9.0,1008.9,1003.6,6.0,5.0,18.3,30.2,0,1,2008,12,9,0,1.9634954084936207,5.497787143782138,2.356194490192345,-36.0804766,146.9162795,0
9,2008-12-10,13.1,30.1,1.4,28.0,15.0,11.0,58.0,27.0,1007.0,1005.7,6.0,5.0,20.1,28.2,1,0,2008,12,10,0,3.141592653589793,9.42477796076938,5.105088062083414,-36.0804766,146.9162795,0
10,2008-12-11,13.4,30.4,0.0,30.0,17.0,6.0,48.0,22.0,1011.8,1008.7,6.0,5.0,20.4,28.8,0,1,2008,12,11,0,1.5707963267948966,5.105088062083414,5.890486225480862,-36.0804766,146.9162795,0
11,2008-12-12,15.9,21.7,2.2,31.0,15.0,13.0,89.0,91.0,1010.5,1004.2,8.0,8.0,15.9,17.0,1,1,2008,12,12,0,1.1780972450961724,0.7853981633974483,0.3926990816987241,-36.0804766,146.9162795,0
12,2008-12-13,15.9,18.6,15.6,61.0,28.0,28.0,76.0,93.0,994.3,993.0,8.0,8.0,17.4,15.8,1,1,2008,12,13,0,3.141592653589793,1.9634954084936207,1.9634954084936207,-36.0804766,146.9162795,0
13,2008-12-14,12.6,21.0,3.6,44.0,24.0,20.0,65.0,43.0,1001.2,1001.8,6.0,7.0,15.8,19.8,1,0,2008,12,14,0,3.9269908169872414,3.141592653589793,4.319689898685965,-36.0804766,146.9162795,0
14,2008-12-17,14.1,20.9,0.0,22.0,11.0,9.0,69.0,82.0,1012.2,1010.4,8.0,1.0,17.2,18.1,0,1,2008,12,17,0,0.3926990816987241,4.319689898685965,0.0,-36.0804766,146.9162795,0
