,Date,MinTemp,MaxTemp,Rainfall,Evaporation,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,year,month,day,LocationNum,WindGustDirNum,WindDir9amNum,WindDir3pmNum,Latitude,Longitude,CodeRegionNum
0,2009-01-01,12.0,33.1,0.0,5.2520076481835565,61.0,9.0,31.0,76.82459187217783,48.9846529473317,1005.5,1001.0,6.0,5.0,20.0,32.1,0,0,2009,1,1,9,3.141592653589793,0.3926990816987241,3.141592653589793,-33.6009721,150.7496405,0
1,2009-01-02,15.9,25.8,0.0,19.0,50.0,13.0,35.0,76.82459187217783,48.9846529473317,1012.6,1012.1,6.0,5.0,20.0,23.7,0,0,2009,1,2,9,5.497787143782138,0.3926990816987241,5.497787143782138,-33.6009721,150.7496405,0
2,2009-01-03,13.6,20.8,0.0,5.2520076481835565,24.0,7.0,9.0,76.82459187217783,48.9846529473317,1021.9,1019.1,6.0,5.0,16.8,20.0,0,0,2009,1,3,9,0.0,4.319689898685965,1.1780972450961724,-33.6009721,150.7496405,0
3,2009-01-04,16.3,30.1,0.0,5.2520076481835565,33.0,4.0,17.0,76.82459187217783,48.9846529473317,1018.7,1013.5,6.0,5.0,19.6,29.3,0,0,2009,1,4,9,0.7853981633974483,0.3926990816987241,0.7853981633974483,-33.6009721,150.7496405,0
4,2009-01-05,14.6,36.5,0.0,15.2,57.0,7.0,24.0,76.82459187217783,48.9846529473317,1013.1,1007.7,6.0,5.0,21.2,36.1,0,0,2009,1,5,9,3.141592653589793,1.1780972450961724,3.5342917352885173,-33.6009721,150.7496405,0
5,2009-01-06,14.0,38.2,0.0,5.2520076481835565,59.0,6.0,11.0,76.82459187217783,48.9846529473317,1011.8,1006.1,6.0,5.0,22.5,38.0,0,0,2009,1,6,9,1.9634954084936207,5.890486225480862,0.7853981633974483,-33.6009721,150.7496405,0
6,2009-01-07,15.6,38.2,0.0,5.2520076481835565,48.0,9.0,19.0,76.82459187217783,48.9846529473317,1010.0,1004.2,6.0,5.0,22.2,35.8,0,0,2009,1,7,9,3.141592653589793,0.7853981633974483,2.356194490192345,-33.6009721,150.7496405,0
7,2009-01-08,19.4,21.4,0.0,5.2520076481835565,43.0,11.0,19.0,76.82459187217783,48.9846529473317,1012.4,1013.4,6.0,5.0,20.2,18.3,0,1,2009,1,8,9,5.497787143782138,5.105088062083414,5.497787143782138,-33.6009721,150.7496405,0
8,2009-01-09,14.2,21.2,1.4,24.0,37.0,17.0,13.0,76.82459187217783,48.9846529473317,1020.3,1018.5,6.0,5.0,16.9,19.9,1,0,2009,1,9,9,0.0,4.319689898685965,0.0,-33.6009721,150.7496405,0
9,2009-01-10,11.3,25.1,0.0,5.2520076481835565,35.0,6.0,19.0,76.82459187217783,48.9846529473317,1017.1,1012.7,6.0,5.0,17.2,23.3,0,0,2009,1,10,9,0.7853981633974483,5.105088062083414,0.0,-33.6009721,150.7496405,0
10,2009-01-11,11.8,28.5,0.0,5.2520076481835565,37.0,2.0,17.0,76.82459187217783,48.9846529473317,1014.3,1009.8,6.0,5.0,19.4,27.8,0,1,2009,1,11,9,5.890486225480862,3.141592653589793,0.7853981633974483,-33.6009721,150.7496405,0
11,2009-01-12,15.4,28.3,3.4,13.4,50.0,4.0,30.0,76.82459187217783,48.9846529473317,1015.8,1014.8,6.0,5.0,17.8,26.4,1,0,2009,1,12,9,0.3926990816987241,3.141592653589793,5.890486225480862,-33.6009721,150.7496405,0
12,2009-01-13,17.8,31.1,0.2,5.2520076481835565,35.0,11.0,17.0,76.82459187217783,48.9846529473317,1019.4,1015.0,6.0,5.0,22.7,29.3,0,0,2009,1,13,9,0.7853981633974483,0.7853981633974483,0.7853981633974483,-33.6009721,150.7496405,0
