,Date,MinTemp,MaxTemp,Rainfall,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,year,month,day,LocationNum,WindGustDirNum,WindDir9amNum,WindDir3pmNum,Latitude,Longitude,CodeRegionNum
0,2009-01-01,18.8,38.4,0.0,13.1,50.0,22.0,13.0,46.0,20.0,1010.4,1007.2,4.0,4.0,23.1,35.6,0,0,2009,1,1,38,0.0,5.890486225480862,5.497787143782138,-31.667778,116.015,5
1,2009-01-02,22.0,39.1,0.0,13.2,52.0,4.0,31.0,38.0,23.0,1008.3,1007.4,4.0,4.0,27.1,36.0,0,0,2009,1,2,38,0.0,2.356194490192345,3.9269908169872414,-31.667778,116.015,5
2,2009-01-03,15.9,35.6,0.0,12.7,43.47347740667976,13.0,28.0,58.0,29.0,1012.1,1010.2,4.0,4.0,24.0,34.8,0,0,2009,1,3,38,2.896869375171649,9.42477796076938,4.319689898685965,-31.667778,116.015,5
3,2009-01-04,12.456392694063927,37.0,0.0,13.3,43.0,24.0,20.0,45.0,19.0,1016.6,1012.6,4.0,4.0,22.7,35.2,0,0,2009,1,4,38,5.497787143782138,5.497787143782138,5.890486225480862,-31.667778,116.015,5
4,2009-01-05,21.8,38.6,0.0,13.2,59.0,15.0,15.0,35.0,15.0,1014.1,1010.1,4.0,4.0,26.8,37.3,0,0,2009,1,5,38,0.0,5.890486225480862,5.105088062083414,-31.667778,116.015,5
5,2009-01-06,19.9,38.0,0.0,13.2,43.0,24.0,20.0,50.0,20.0,1013.5,1009.1,4.0,4.0,24.9,37.1,0,0,2009,1,6,38,4.319689898685965,5.497787143782138,5.105088062083414,-31.667778,116.015,5
6,2009-01-07,18.8,36.6,0.0,13.2,69.0,26.0,22.0,49.0,23.0,1013.8,1010.5,4.0,4.0,23.2,34.3,0,0,2009,1,7,38,0.0,0.0,5.890486225480862,-31.667778,116.015,5
7,2009-01-08,19.6,38.1,0.0,13.2,44.0,19.0,26.0,49.0,22.0,1014.1,1010.7,4.0,4.0,23.9,36.6,0,0,2009,1,8,38,5.497787143782138,5.890486225480862,9.42477796076938,-31.667778,116.015,5
8,2009-01-09,19.4,38.3,0.0,13.3,43.47347740667976,11.0,22.0,49.0,23.0,1015.0,1010.8,4.0,4.0,24.1,37.3,0,0,2009,1,9,38,2.896869375171649,5.497787143782138,4.319689898685965,-31.667778,116.015,5
9,2009-01-10,12.456392694063927,37.4,0.0,13.1,50.0,17.0,30.0,41.0,22.0,1012.7,1009.7,4.0,4.0,26.0,35.9,0,0,2009,1,10,38,5.105088062083414,5.497787143782138,4.319689898685965,-31.667778,116.015,5
10,2009-01-11,19.8,40.6,0.0,13.1,61.0,31.0,13.0,31.0,12.0,1008.6,1004.9,4.0,4.0,26.6,39.0,0,0,2009,1,11,38,0.0,0.3926990816987241,3.5342917352885173,-31.667778,116.015,5
11,2009-01-12,13.3,28.8,0.0,11.3,59.0,11.0,31.0,64.0,49.0,1007.3,1008.6,0.0,5.0,22.1,27.2,0,0,2009,1,12,38,4.319689898685965,4.319689898685965,3.9269908169872414,-31.667778,116.015,5
12,2009-01-13,9.1,27.8,0.0,11.2,48.0,11.0,17.0,50.0,27.0,1017.4,1014.5,2.0,1.0,19.8,26.5,0,0,2009,1,13,38,4.319689898685965,9.42477796076938,9.42477796076938,-31.667778,116.015,5
13,2009-01-14,12.0,32.7,0.0,10.2,41.0,15.0,13.0,49.0,19.0,1016.8,1013.7,3.0,3.0,21.0,31.9,0,0,2009,1,14,38,3.141592653589793,5.497787143782138,5.497787143782138,-31.667778,116.015,5
