,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,year,month,day,LocationNum,WindDir9amNum,WindDir3pmNum,Latitude,Longitude,CodeRegion,NonMes,CodeRegionNum,NonMesNum
14579,14579,2008-12-01,Newcastle,13.2,,0.0,NW,NW,6.0,19.0,50.0,24.0,3.0,4.0,21.8,30.6,0,0,2008,12,1,5,2.356194490192345,2.356194490192345,-32.9192953,151.7795348,NSW,Evaporation_Sunshine_WindGustDir_WindGustSpeed_Pressure9am_Pressure3pm,0,3
14580,14580,2008-12-02,Newcastle,,32.2,0.0,,NE,,19.0,,59.0,,0.0,,25.4,0,0,2008,12,2,5,,0.7853981633974483,-32.9192953,151.7795348,NSW,Evaporation_Sunshine_WindGustDir_WindGustSpeed_Pressure9am_Pressure3pm,0,3
14581,14581,2008-12-03,Newcastle,16.2,32.2,0.0,N,SE,2.0,2.0,74.0,26.0,4.0,4.0,22.2,32.0,0,0,2008,12,3,5,1.5707963267948966,5.497787143782138,-32.9192953,151.7795348,NSW,Evaporation_Sunshine_WindGustDir_WindGustSpeed_Pressure9am_Pressure3pm,0,3
14582,14582,2008-12-04,Newcastle,19.2,24.0,0.0,SE,SE,22.0,22.0,66.0,61.0,7.0,5.0,20.4,23.0,0,0,2008,12,4,5,5.497787143782138,5.497787143782138,-32.9192953,151.7795348,NSW,Evaporation_Sunshine_WindGustDir_WindGustSpeed_Pressure9am_Pressure3pm,0,3
14583,14583,2008-12-05,Newcastle,18.8,30.2,0.0,NE,,4.0,,85.0,,8.0,,20.0,,0,0,2008,12,5,5,0.7853981633974483,,-32.9192953,151.7795348,NSW,Evaporation_Sunshine_WindGustDir_WindGustSpeed_Pressure9am_Pressure3pm,0,3
14584,14584,2008-12-06,Newcastle,19.8,34.2,0.0,NW,NW,4.0,7.0,56.0,39.0,6.0,7.0,29.2,31.8,0,0,2008,12,6,5,2.356194490192345,2.356194490192345,-32.9192953,151.7795348,NSW,Evaporation_Sunshine_WindGustDir_WindGustSpeed_Pressure9am_Pressure3pm,0,3
14585,14585,2008-12-07,Newcastle,19.4,27.8,0.0,,SE,0.0,6.0,91.0,39.0,8.0,4.0,20.8,27.0,0,0,2008,12,7,5,,5.497787143782138,-32.9192953,151.7795348,NSW,Evaporation_Sunshine_WindGustDir_WindGustSpeed_Pressure9am_Pressure3pm,0,3
14586,14586,2008-12-08,Newcastle,,26.2,0.0,,NE,,22.0,,71.0,,7.0,,22.2,0,0,2008,12,8,5,,0.7853981633974483,-32.9192953,151.7795348,NSW,Evaporation_Sunshine_WindGustDir_WindGustSpeed_Pressure9am_Pressure3pm,0,3
14587,14587,2008-12-09,Newcastle,15.6,29.4,0.0,NE,NW,4.0,19.0,78.0,53.0,1.0,3.0,21.2,28.2,0,0,2008,12,9,5,0.7853981633974483,2.356194490192345,-32.9192953,151.7795348,NSW,Evaporation_Sunshine_WindGustDir_WindGustSpeed_Pressure9am_Pressure3pm,0,3
14588,14588,2008-12-10,Newcastle,19.2,26.4,0.0,SE,,22.0,,63.0,,0.0,,25.8,,0,0,2008,12,10,5,5.497787143782138,,-32.9192953,151.7795348,NSW,Evaporation_Sunshine_WindGustDir_WindGustSpeed_Pressure9am_Pressure3pm,0,3
14589,14589,2008-12-11,Newcastle,19.4,21.4,0.0,NE,SE,2.0,9.0,83.0,72.0,8.0,8.0,19.6,20.0,0,0,2008,12,11,5,0.7853981633974483,5.497787143782138,-32.9192953,151.7795348,NSW,Evaporation_Sunshine_WindGustDir_WindGustSpeed_Pressure9am_Pressure3pm,0,3
14590,14590,2008-12-12,Newcastle,18.0,22.4,0.4,NE,NE,4.0,9.0,87.0,96.0,8.0,8.0,18.8,18.8,0,1,2008,12,12,5,0.7853981633974483,0.7853981633974483,-32.9192953,151.7795348,NSW,Evaporation_Sunshine_WindGustDir_WindGustSpeed_Pressure9am_Pressure3pm,0,3
14591,14591,2008-12-13,Newcastle,18.2,31.6,29.8,,NW,0.0,50.0,95.0,51.0,8.0,7.0,22.2,28.8,1,0,2008,12,13,5,,2.356194490192345,-32.9192953,151.7795348,NSW,Evaporation_Sunshine_WindGustDir_WindGustSpeed_Pressure9am_Pressure3pm,0,3
14592,14592,2008-12-14,Newcastle,18.2,27.2,1.0,SW,NW,19.0,46.0,55.0,39.0,3.0,3.0,22.0,25.4,0,0,2008,12,14,5,3.9269908169872414,2.356194490192345,-32.9192953,151.7795348,NSW,Evaporation_Sunshine_WindGustDir_WindGustSpeed_Pressure9am_Pressure3pm,0,3
14593,14593,2008-12-15,Newcastle,16.6,22.8,0.0,S,SE,9.0,28.0,42.0,49.0,4.0,1.0,20.4,21.8,0,0,2008,12,15,5,9.42477796076938,5.497787143782138,-32.9192953,151.7795348,NSW,Evaporation_Sunshine_WindGustDir_WindGustSpeed_Pressure9am_Pressure3pm,0,3
14594,14594,2008-12-16,Newcastle,11.6,27.0,0.0,,NE,0.0,4.0,72.0,51.0,0.0,1.0,18.8,26.0,0,0,2008,12,16,5,,0.7853981633974483,-32.9192953,151.7795348,NSW,Evaporation_Sunshine_WindGustDir_WindGustSpeed_Pressure9am_Pressure3pm,0,3
14595,14595,2008-12-17,Newcastle,14.4,29.0,0.0,,SE,0.0,7.0,51.0,44.0,2.0,1.0,23.2,28.2,0,0,2008,12,17,5,,5.497787143782138,-32.9192953,151.7795348,NSW,Evaporation_Sunshine_WindGustDir_WindGustSpeed_Pressure9am_Pressure3pm,0,3
14596,14596,2008-12-18,Newcastle,17.6,34.0,0.0,SE,SE,4.0,56.0,91.0,34.0,2.0,7.0,20.0,31.0,0,1,2008,12,18,5,5.497787143782138,5.497787143782138,-32.9192953,151.7795348,NSW,Evaporation_Sunshine_WindGustDir_WindGustSpeed_Pressure9am_Pressure3pm,0,3
14597,14597,2008-12-19,Newcastle,18.0,26.6,1.2,,SE,0.0,46.0,71.0,98.0,1.0,2.0,22.4,23.0,1,0,2008,12,19,5,,5.497787143782138,-32.9192953,151.7795348,NSW,Evaporation_Sunshine_WindGustDir_WindGustSpeed_Pressure9am_Pressure3pm,0,3
