,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,year,month,day,LocationNum,WindGustDirNum,WindDir9amNum,WindDir3pmNum,Latitude,Longitude,CodeRegion,NonMes,CodeRegionNum,NonMesNum
77833,77833,2009-03-06,Dartmoor,8.2,17.6,0.8,3.0,0.0,W,26.0,,W,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0,2009,3,6,27,3.141592653589793,,3.141592653589793,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77834,77834,2009-03-07,Dartmoor,10.1,19.9,0.8,1.2,5.8,SSW,41.0,WNW,SSW,9.0,24.0,98.0,52.0,1017.8,1018.1,12.8,18.0,0,0,2009,3,7,27,4.319689898685965,2.748893571891069,4.319689898685965,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77835,77835,2009-03-08,Dartmoor,8.8,20.5,0.2,3.6,7.4,SE,41.0,SE,ESE,13.0,26.0,68.0,54.0,1021.9,1020.9,14.1,19.8,0,0,2009,3,8,27,5.497787143782138,5.497787143782138,5.890486225480862,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77836,77836,2009-03-09,Dartmoor,8.0,23.9,0.0,4.0,11.2,SSE,39.0,SE,SE,17.0,22.0,82.0,47.0,1021.7,1019.1,13.0,23.0,0,0,2009,3,9,27,5.105088062083414,5.497787143782138,5.497787143782138,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77837,77837,2009-03-10,Dartmoor,12.9,27.6,0.0,4.2,4.9,ESE,44.0,ESE,SE,22.0,24.0,86.0,44.0,1020.4,1017.8,16.7,27.2,0,0,2009,3,10,27,5.890486225480862,5.890486225480862,5.497787143782138,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77838,77838,2009-03-11,Dartmoor,14.1,29.7,0.0,3.0,4.6,NW,44.0,ESE,NE,17.0,20.0,91.0,42.0,1019.7,1016.2,17.0,27.8,0,1,2009,3,11,27,2.356194490192345,5.890486225480862,0.7853981633974483,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77839,77839,2009-03-12,Dartmoor,15.8,28.1,19.0,5.0,10.5,SW,35.0,,NW,0.0,19.0,90.0,51.0,1015.6,1014.1,18.8,27.9,1,0,2009,3,12,27,3.9269908169872414,,2.356194490192345,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77840,77840,2009-03-13,Dartmoor,14.3,29.4,0.0,4.0,8.7,SW,31.0,S,WNW,7.0,11.0,,43.0,1015.9,1013.6,16.5,27.6,0,1,2009,3,13,27,3.9269908169872414,9.42477796076938,2.748893571891069,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77841,77841,2009-03-14,Dartmoor,14.5,20.1,14.2,6.4,8.1,W,72.0,W,WSW,17.0,44.0,93.0,81.0,1008.8,1009.5,15.0,12.7,1,1,2009,3,14,27,3.141592653589793,3.141592653589793,3.5342917352885173,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77842,77842,2009-03-15,Dartmoor,9.3,17.8,9.6,4.6,7.8,SW,54.0,WNW,WSW,20.0,33.0,91.0,57.0,1012.3,1012.4,11.0,17.2,1,1,2009,3,15,27,3.9269908169872414,2.748893571891069,3.5342917352885173,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77843,77843,2009-03-16,Dartmoor,10.2,18.0,3.8,3.0,5.9,SW,41.0,WSW,SW,17.0,24.0,94.0,72.0,1014.4,1015.6,13.0,16.7,1,0,2009,3,16,27,3.9269908169872414,3.5342917352885173,3.9269908169872414,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77844,77844,2009-03-17,Dartmoor,11.1,15.9,0.2,3.0,0.0,SSW,31.0,SSW,SSW,9.0,17.0,75.0,74.0,1019.9,1019.7,13.5,15.2,0,0,2009,3,17,27,4.319689898685965,4.319689898685965,4.319689898685965,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77845,77845,2009-03-18,Dartmoor,5.6,24.8,0.0,1.8,9.5,NNW,33.0,NE,NW,11.0,19.0,91.0,44.0,1016.3,1012.6,10.5,23.6,0,0,2009,3,18,27,1.9634954084936207,0.7853981633974483,2.356194490192345,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77846,77846,2009-03-19,Dartmoor,8.0,22.3,0.0,5.2,10.7,SW,33.0,ENE,SW,7.0,15.0,82.0,67.0,1012.3,1012.8,12.9,21.2,0,0,2009,3,19,27,3.9269908169872414,0.3926990816987241,3.9269908169872414,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77847,77847,2009-03-20,Dartmoor,5.2,23.6,0.0,3.2,10.6,SSW,28.0,,W,0.0,6.0,98.0,50.0,1016.5,1013.5,9.7,22.4,0,0,2009,3,20,27,4.319689898685965,,3.141592653589793,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77848,77848,2009-03-21,Dartmoor,7.9,34.6,0.0,3.6,7.5,NW,57.0,,NNW,0.0,31.0,93.0,22.0,1010.1,1006.4,12.2,34.3,0,0,2009,3,21,27,2.356194490192345,,1.9634954084936207,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77849,77849,2009-03-22,Dartmoor,11.3,18.5,0.4,4.0,1.5,SSW,39.0,S,S,13.0,22.0,92.0,65.0,1015.3,1016.0,14.1,17.0,0,0,2009,3,22,27,4.319689898685965,9.42477796076938,9.42477796076938,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77850,77850,2009-03-23,Dartmoor,5.1,20.7,0.0,2.8,10.5,SE,35.0,,SSW,0.0,17.0,93.0,56.0,1018.6,1016.8,9.5,19.9,0,0,2009,3,23,27,5.497787143782138,,4.319689898685965,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77851,77851,2009-03-24,Dartmoor,7.1,20.6,0.0,3.8,0.2,E,24.0,E,,7.0,0.0,90.0,58.0,1017.6,1014.8,11.3,19.5,0,1,2009,3,24,27,0.0,0.0,,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77852,77852,2009-03-25,Dartmoor,10.5,23.1,4.8,3.0,6.5,SW,30.0,NNE,WSW,6.0,13.0,98.0,68.0,1015.9,1015.1,15.7,22.6,1,0,2009,3,25,27,3.9269908169872414,1.1780972450961724,3.5342917352885173,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77853,77853,2009-03-26,Dartmoor,14.0,20.4,0.0,1.8,7.2,SW,46.0,NW,SW,15.0,31.0,95.0,71.0,1021.0,1023.7,15.9,18.6,0,0,2009,3,26,27,3.9269908169872414,2.356194490192345,3.9269908169872414,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77854,77854,2009-03-27,Dartmoor,3.4,19.8,0.2,3.6,9.4,SW,30.0,,SSW,0.0,13.0,97.0,59.0,1028.2,1026.5,7.1,18.8,0,0,2009,3,27,27,3.9269908169872414,,4.319689898685965,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77855,77855,2009-03-28,Dartmoor,1.8,26.6,0.0,2.6,10.7,WNW,31.0,,NW,0.0,15.0,98.0,30.0,1023.6,1020.6,4.6,25.7,0,0,2009,3,28,27,2.748893571891069,,2.356194490192345,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77856,77856,2009-03-29,Dartmoor,,24.3,0.0,4.8,10.5,SE,33.0,NE,SSW,4.0,19.0,90.0,55.0,1022.6,1022.0,6.7,23.7,0,0,2009,3,29,27,5.497787143782138,0.7853981633974483,4.319689898685965,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77857,77857,2009-03-30,Dartmoor,,21.1,0.0,3.0,8.1,ESE,48.0,ESE,SE,26.0,26.0,77.0,56.0,1026.0,1024.5,15.1,20.5,0,0,2009,3,30,27,5.890486225480862,5.890486225480862,5.497787143782138,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77858,77858,2009-03-31,Dartmoor,,29.0,0.0,3.2,8.1,SSW,31.0,E,WSW,9.0,9.0,99.0,47.0,1022.2,1019.5,13.8,27.6,0,0,2009,3,31,27,4.319689898685965,0.0,3.5342917352885173,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77859,77859,2009-04-01,Dartmoor,,31.7,0.2,4.0,10.2,N,30.0,,NNW,,11.0,87.0,28.0,1020.5,1018.4,13.4,30.9,0,0,2009,4,1,27,1.5707963267948966,,1.9634954084936207,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77860,77860,2009-04-02,Dartmoor,,33.3,0.0,6.4,8.7,N,43.0,NNE,NW,11.0,24.0,49.0,31.0,1018.1,1015.7,21.7,32.1,0,0,2009,4,2,27,1.5707963267948966,1.1780972450961724,2.356194490192345,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77861,77861,2009-04-03,Dartmoor,12.4,20.6,0.2,5.6,5.5,WSW,56.0,WNW,WSW,9.0,35.0,90.0,59.0,1018.7,1017.6,12.7,17.8,0,0,2009,4,3,27,3.5342917352885173,2.748893571891069,3.5342917352885173,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77862,77862,2009-04-04,Dartmoor,4.2,16.7,0.0,3.4,1.2,W,30.0,NNE,WSW,6.0,17.0,93.0,62.0,1024.6,1023.8,8.7,16.1,0,1,2009,4,4,27,3.141592653589793,1.1780972450961724,3.5342917352885173,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77863,77863,2009-04-05,Dartmoor,7.0,17.0,1.8,1.6,5.0,SSW,50.0,WNW,SSW,20.0,28.0,92.0,64.0,1020.5,1021.3,14.6,14.9,1,0,2009,4,5,27,4.319689898685965,2.748893571891069,4.319689898685965,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77864,77864,2009-04-06,Dartmoor,5.7,16.7,1.0,2.6,3.2,SSW,43.0,N,SSW,9.0,30.0,81.0,58.0,1027.8,1027.5,11.4,14.8,0,0,2009,4,6,27,4.319689898685965,1.5707963267948966,4.319689898685965,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77865,77865,2009-04-07,Dartmoor,8.0,17.1,0.4,2.2,5.0,S,33.0,S,SSW,11.0,22.0,88.0,94.0,1031.5,1029.8,13.4,14.3,0,1,2009,4,7,27,9.42477796076938,9.42477796076938,4.319689898685965,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77866,77866,2009-04-08,Dartmoor,6.8,16.2,1.4,1.2,3.6,S,26.0,,S,0.0,20.0,99.0,84.0,1029.1,1026.6,10.6,15.3,1,0,2009,4,8,27,9.42477796076938,,9.42477796076938,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77867,77867,2009-04-09,Dartmoor,9.6,19.4,0.0,1.2,4.5,SSW,30.0,,W,0.0,11.0,91.0,61.0,1023.4,1019.7,12.6,18.9,0,0,2009,4,9,27,4.319689898685965,,3.141592653589793,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77868,77868,2009-04-10,Dartmoor,6.6,21.4,0.2,1.4,5.4,WSW,33.0,,SW,0.0,22.0,95.0,68.0,1021.2,1019.8,10.9,18.8,0,0,2009,4,10,27,3.5342917352885173,,3.9269908169872414,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77869,77869,2009-04-11,Dartmoor,5.6,21.0,0.0,1.6,8.9,SSW,24.0,,SSW,0.0,19.0,96.0,62.0,1024.1,1021.3,11.0,19.1,0,0,2009,4,11,27,4.319689898685965,,4.319689898685965,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
