,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,year,month,day,LocationNum,WindGustDirNum,WindDir9amNum,WindDir3pmNum,Latitude,Longitude,CodeRegion,NonMes,CodeRegionNum,NonMesNum
26251,26251,2009-01-01,Richmond,12.0,33.1,0.0,,W,61.0,ENE,W,9.0,31.0,,,1005.5,1001.0,,,20.0,32.1,0,0,2009,1,1,9,3.141592653589793,0.3926990816987241,3.141592653589793,-33.6009721,150.7496405,NSW,Sunshine,0,5
26252,26252,2009-01-02,Richmond,15.9,25.8,0.0,19.0,SE,50.0,ENE,SE,13.0,35.0,,,1012.6,1012.1,,,20.0,23.7,0,0,2009,1,2,9,5.497787143782138,0.3926990816987241,5.497787143782138,-33.6009721,150.7496405,NSW,Sunshine,0,5
26253,26253,2009-01-03,Richmond,13.6,20.8,0.0,,E,24.0,SSW,NNE,7.0,9.0,,,1021.9,1019.1,,,16.8,20.0,0,0,2009,1,3,9,0.0,4.319689898685965,1.1780972450961724,-33.6009721,150.7496405,NSW,Sunshine,0,5
26254,26254,2009-01-04,Richmond,16.3,30.1,0.0,,NE,33.0,ENE,NE,4.0,17.0,,,1018.7,1013.5,,,19.6,29.3,0,0,2009,1,4,9,0.7853981633974483,0.3926990816987241,0.7853981633974483,-33.6009721,150.7496405,NSW,Sunshine,0,5
26255,26255,2009-01-05,Richmond,14.6,36.5,0.0,15.2,W,57.0,NNE,WSW,7.0,24.0,,,1013.1,1007.7,,,21.2,36.1,0,0,2009,1,5,9,3.141592653589793,1.1780972450961724,3.5342917352885173,-33.6009721,150.7496405,NSW,Sunshine,0,5
26256,26256,2009-01-06,Richmond,14.0,38.2,0.0,,NNW,59.0,ESE,NE,6.0,11.0,,,1011.8,1006.1,,,22.5,38.0,0,0,2009,1,6,9,1.9634954084936207,5.890486225480862,0.7853981633974483,-33.6009721,150.7496405,NSW,Sunshine,0,5
26257,26257,2009-01-07,Richmond,15.6,38.2,0.0,,W,48.0,NE,NW,9.0,19.0,,,1010.0,1004.2,,,22.2,35.8,0,0,2009,1,7,9,3.141592653589793,0.7853981633974483,2.356194490192345,-33.6009721,150.7496405,NSW,Sunshine,0,5
26258,26258,2009-01-08,Richmond,19.4,21.4,0.0,,SE,43.0,SSE,SE,11.0,19.0,,,1012.4,1013.4,,,20.2,18.3,0,1,2009,1,8,9,5.497787143782138,5.105088062083414,5.497787143782138,-33.6009721,150.7496405,NSW,Sunshine,0,5
26259,26259,2009-01-09,Richmond,14.2,21.2,1.4,24.0,E,37.0,SSW,E,17.0,13.0,,,1020.3,1018.5,,,16.9,19.9,1,0,2009,1,9,9,0.0,4.319689898685965,0.0,-33.6009721,150.7496405,NSW,Sunshine,0,5
26260,26260,2009-01-10,Richmond,11.3,25.1,0.0,,NE,35.0,SSE,E,6.0,19.0,,,1017.1,1012.7,,,17.2,23.3,0,0,2009,1,10,9,0.7853981633974483,5.105088062083414,0.0,-33.6009721,150.7496405,NSW,Sunshine,0,5
26261,26261,2009-01-11,Richmond,11.8,28.5,0.0,,ESE,37.0,W,NE,2.0,17.0,,,1014.3,1009.8,,,19.4,27.8,0,1,2009,1,11,9,5.890486225480862,3.141592653589793,0.7853981633974483,-33.6009721,150.7496405,NSW,Sunshine,0,5
26262,26262,2009-01-12,Richmond,15.4,28.3,3.4,13.4,ENE,50.0,W,ESE,4.0,30.0,,,1015.8,1014.8,,,17.8,26.4,1,0,2009,1,12,9,0.3926990816987241,3.141592653589793,5.890486225480862,-33.6009721,150.7496405,NSW,Sunshine,0,5
26263,26263,2009-01-13,Richmond,17.8,31.1,0.2,,NE,35.0,NE,NE,11.0,17.0,,,1019.4,1015.0,,,22.7,29.3,0,0,2009,1,13,9,0.7853981633974483,0.7853981633974483,0.7853981633974483,-33.6009721,150.7496405,NSW,Sunshine,0,5
26264,26264,2009-01-14,Richmond,15.1,38.4,0.0,11.8,ENE,37.0,E,ENE,4.0,13.0,,,1014.6,1009.5,,,22.3,37.0,0,0,2009,1,14,9,0.3926990816987241,0.0,0.3926990816987241,-33.6009721,150.7496405,NSW,Sunshine,0,5
26265,26265,2009-01-15,Richmond,17.6,40.7,0.0,8.8,SE,72.0,NE,NW,11.0,24.0,,,1008.9,1005.1,,,29.7,39.9,0,0,2009,1,15,9,5.497787143782138,0.7853981633974483,2.356194490192345,-33.6009721,150.7496405,NSW,Sunshine,0,5
26266,26266,2009-01-16,Richmond,15.9,34.9,0.4,10.8,SE,63.0,S,NNE,6.0,11.0,,,1012.9,1007.4,,,19.8,30.7,0,0,2009,1,16,9,5.497787143782138,9.42477796076938,1.1780972450961724,-33.6009721,150.7496405,NSW,Sunshine,0,5
26267,26267,2009-01-17,Richmond,14.7,21.4,0.2,,SSE,35.0,SSW,SE,11.0,17.0,,,1020.8,1020.1,,,15.9,20.0,0,0,2009,1,17,9,5.105088062083414,4.319689898685965,5.497787143782138,-33.6009721,150.7496405,NSW,Sunshine,0,5
26268,26268,2009-01-18,Richmond,10.7,28.0,0.0,,NE,33.0,NE,ENE,4.0,11.0,,,1022.1,1018.5,,,18.0,27.1,0,0,2009,1,18,9,0.7853981633974483,0.7853981633974483,0.3926990816987241,-33.6009721,150.7496405,NSW,Sunshine,0,5
26269,26269,2009-01-19,Richmond,11.6,33.5,0.0,17.8,ESE,41.0,NNE,NE,6.0,19.0,,23.0,1019.4,1013.5,,,18.9,31.9,0,0,2009,1,19,9,5.890486225480862,1.1780972450961724,0.7853981633974483,-33.6009721,150.7496405,NSW,Sunshine,0,5
26270,26270,2009-01-20,Richmond,15.4,39.0,0.0,8.0,NNW,44.0,NE,NW,4.0,19.0,60.0,19.0,1013.7,1008.8,,,22.7,38.5,0,0,2009,1,20,9,1.9634954084936207,0.7853981633974483,2.356194490192345,-33.6009721,150.7496405,NSW,Sunshine,0,5
26271,26271,2009-01-21,Richmond,21.6,38.9,0.0,9.2,SSW,46.0,NNE,NW,9.0,17.0,61.0,26.0,1011.7,1006.6,,,26.5,38.1,0,1,2009,1,21,9,4.319689898685965,1.1780972450961724,2.356194490192345,-33.6009721,150.7496405,NSW,Sunshine,0,5
26272,26272,2009-01-22,Richmond,21.2,32.6,1.6,7.6,NW,48.0,ENE,NNW,13.0,22.0,65.0,48.0,1008.9,1005.7,,,26.0,30.9,1,0,2009,1,22,9,2.356194490192345,0.3926990816987241,1.9634954084936207,-33.6009721,150.7496405,NSW,Sunshine,0,5
26273,26273,2009-01-23,Richmond,23.0,36.4,0.2,,ESE,46.0,NNE,ENE,17.0,19.0,53.0,40.0,1008.9,1006.0,,,29.6,35.0,0,0,2009,1,23,9,5.890486225480862,1.1780972450961724,0.3926990816987241,-33.6009721,150.7496405,NSW,Sunshine,0,5
26274,26274,2009-01-24,Richmond,23.0,41.0,0.0,,SE,69.0,NW,WNW,20.0,35.0,51.0,23.0,1004.8,1002.6,,,32.6,40.5,0,0,2009,1,24,9,5.497787143782138,2.356194490192345,2.748893571891069,-33.6009721,150.7496405,NSW,Sunshine,0,5
26275,26275,2009-01-25,Richmond,19.8,27.6,0.0,,E,33.0,SSE,ENE,15.0,13.0,57.0,40.0,1019.8,1017.4,,,21.5,27.2,0,0,2009,1,25,9,0.0,5.105088062083414,0.3926990816987241,-33.6009721,150.7496405,NSW,Sunshine,0,5
26276,26276,2009-01-26,Richmond,21.1,30.7,0.0,,ESE,39.0,WSW,SE,9.0,19.0,64.0,51.0,1019.4,1018.1,,,22.5,30.1,0,1,2009,1,26,9,5.890486225480862,3.5342917352885173,5.497787143782138,-33.6009721,150.7496405,NSW,Sunshine,0,5
26277,26277,2009-01-27,Richmond,19.8,29.2,10.6,37.2,S,28.0,SW,SE,9.0,9.0,99.0,63.0,1021.4,1019.1,,,20.3,27.3,1,0,2009,1,27,9,9.42477796076938,3.9269908169872414,5.497787143782138,-33.6009721,150.7496405,NSW,Sunshine,0,5
26278,26278,2009-01-28,Richmond,18.1,35.1,0.2,4.0,ENE,33.0,NNE,NE,7.0,17.0,99.0,38.0,1018.7,1014.6,,,19.3,32.9,0,0,2009,1,28,9,0.3926990816987241,1.1780972450961724,0.7853981633974483,-33.6009721,150.7496405,NSW,Sunshine,0,5
26279,26279,2009-01-29,Richmond,16.9,34.7,0.0,6.6,ENE,35.0,NE,NNE,6.0,11.0,89.0,37.0,1018.8,1014.9,,,21.5,32.8,0,0,2009,1,29,9,0.3926990816987241,0.7853981633974483,1.1780972450961724,-33.6009721,150.7496405,NSW,Sunshine,0,5
26280,26280,2009-01-30,Richmond,17.6,34.8,0.0,7.6,ENE,37.0,ENE,NNE,6.0,13.0,74.0,32.0,1018.5,1014.2,,,24.3,33.3,0,0,2009,1,30,9,0.3926990816987241,0.3926990816987241,1.1780972450961724,-33.6009721,150.7496405,NSW,Sunshine,0,5
26281,26281,2009-01-31,Richmond,17.5,37.5,0.0,7.4,E,35.0,ESE,ENE,6.0,15.0,76.0,31.0,1017.4,1012.1,,,23.5,36.6,0,0,2009,1,31,9,0.0,5.890486225480862,0.3926990816987241,-33.6009721,150.7496405,NSW,Sunshine,0,5
26282,26282,2009-02-01,Richmond,19.7,33.3,0.0,,SE,39.0,S,ESE,13.0,26.0,71.0,43.0,1015.6,1014.4,,,24.8,31.8,0,0,2009,2,1,9,5.497787143782138,9.42477796076938,5.890486225480862,-33.6009721,150.7496405,NSW,Sunshine,0,5
26283,26283,2009-02-02,Richmond,19.5,35.5,0.0,14.8,E,37.0,,ENE,0.0,15.0,75.0,36.0,1016.3,1010.4,,,25.0,34.0,0,0,2009,2,2,9,0.0,,0.3926990816987241,-33.6009721,150.7496405,NSW,Sunshine,0,5
26284,26284,2009-02-03,Richmond,20.5,34.0,0.0,8.0,SE,46.0,SE,SSE,6.0,28.0,69.0,37.0,1010.8,1008.7,,,24.0,31.9,0,0,2009,2,3,9,5.497787143782138,5.497787143782138,5.105088062083414,-33.6009721,150.7496405,NSW,Sunshine,0,5
26285,26285,2009-02-04,Richmond,21.6,33.2,0.0,6.4,E,31.0,ESE,NNE,2.0,11.0,77.0,43.0,1011.6,1007.9,,,23.9,31.8,0,0,2009,2,4,9,0.0,5.890486225480862,1.1780972450961724,-33.6009721,150.7496405,NSW,Sunshine,0,5
26286,26286,2009-02-05,Richmond,19.7,40.1,0.0,5.8,ENE,35.0,N,NE,2.0,15.0,76.0,26.0,1009.2,1004.1,,,25.0,38.3,0,0,2009,2,5,9,0.3926990816987241,1.5707963267948966,0.7853981633974483,-33.6009721,150.7496405,NSW,Sunshine,0,5
26287,26287,2009-02-06,Richmond,22.1,41.3,0.0,8.0,ENE,44.0,SSE,NE,11.0,20.0,71.0,23.0,1010.8,1006.2,,,26.0,40.4,0,0,2009,2,6,9,0.3926990816987241,5.105088062083414,0.7853981633974483,-33.6009721,150.7496405,NSW,Sunshine,0,5
26288,26288,2009-02-07,Richmond,21.7,41.9,0.0,,ENE,43.0,WNW,NE,4.0,24.0,64.0,18.0,1013.4,1008.7,,,26.1,41.0,0,0,2009,2,7,9,0.3926990816987241,2.748893571891069,0.7853981633974483,-33.6009721,150.7496405,NSW,Sunshine,0,5
