,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,year,month,day,LocationNum,WindDir9amNum,WindDir3pmNum,Latitude,Longitude,CodeRegion,NonMes,CodeRegionNum,NonMesNum
104841,104841,2008-12-01,Albany,13.3,18.5,0.0,3.8,8.9,NNW,SW,4.0,17.0,82.0,63.0,1017.9,1015.2,7.0,5.0,15.2,17.9,0,0,2008,12,1,36,1.9634954084936207,3.9269908169872414,-35.0247822,117.883608,WA,WindGustDir_WindGustSpeed,5,7
104842,104842,2008-12-02,Albany,14.7,21.0,0.0,5.4,9.1,NE,ESE,6.0,17.0,64.0,71.0,1012.8,1009.3,2.0,6.0,17.8,19.1,0,0,2008,12,2,36,0.7853981633974483,5.890486225480862,-35.0247822,117.883608,WA,WindGustDir_WindGustSpeed,5,7
104843,104843,2008-12-03,Albany,16.5,24.0,0.2,4.8,10.0,ENE,WSW,19.0,24.0,36.0,73.0,999.8,998.7,7.0,7.0,20.0,21.0,0,1,2008,12,3,36,0.3926990816987241,3.5342917352885173,-35.0247822,117.883608,WA,WindGustDir_WindGustSpeed,5,7
104844,104844,2008-12-04,Albany,14.1,20.6,7.8,7.0,7.2,N,WSW,13.0,41.0,69.0,81.0,1006.7,1008.5,5.0,7.0,19.8,18.0,1,0,2008,12,4,36,1.5707963267948966,3.5342917352885173,-35.0247822,117.883608,WA,WindGustDir_WindGustSpeed,5,7
104845,104845,2008-12-05,Albany,13.0,17.8,0.0,3.6,4.9,SW,SW,13.0,19.0,73.0,63.0,1015.3,1016.3,3.0,5.0,16.0,17.0,0,0,2008,12,5,36,3.9269908169872414,3.9269908169872414,-35.0247822,117.883608,WA,WindGustDir_WindGustSpeed,5,7
104846,104846,2008-12-06,Albany,14.8,18.5,0.0,3.8,8.7,ESE,ESE,11.0,20.0,46.0,48.0,1020.1,1017.9,8.0,3.0,16.9,17.7,0,0,2008,12,6,36,5.890486225480862,5.890486225480862,-35.0247822,117.883608,WA,WindGustDir_WindGustSpeed,5,7
104847,104847,2008-12-07,Albany,14.0,20.0,0.0,6.0,12.8,ENE,ESE,7.0,31.0,62.0,72.0,1013.4,1007.9,2.0,2.0,18.0,19.5,0,0,2008,12,7,36,0.3926990816987241,5.890486225480862,-35.0247822,117.883608,WA,WindGustDir_WindGustSpeed,5,7
104848,104848,2008-12-08,Albany,16.3,19.6,0.0,7.0,8.4,SW,WSW,20.0,31.0,68.0,55.0,1008.2,1008.0,5.0,3.0,18.3,18.7,0,0,2008,12,8,36,3.9269908169872414,3.5342917352885173,-35.0247822,117.883608,WA,WindGustDir_WindGustSpeed,5,7
104849,104849,2008-12-09,Albany,10.8,19.4,0.0,4.4,7.4,NNW,SSE,6.0,13.0,71.0,66.0,1010.5,1010.3,2.0,6.0,17.0,17.8,0,1,2008,12,9,36,1.9634954084936207,5.105088062083414,-35.0247822,117.883608,WA,WindGustDir_WindGustSpeed,5,7
104850,104850,2008-12-10,Albany,13.6,19.2,14.4,4.4,4.7,ENE,SE,6.0,20.0,84.0,69.0,1013.1,1013.0,8.0,6.0,14.9,18.8,1,0,2008,12,10,36,0.3926990816987241,5.497787143782138,-35.0247822,117.883608,WA,WindGustDir_WindGustSpeed,5,7
